,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
0,2895,1990,18.43,2.2,1.34,6.62,10.26,0.51,0.18,6.95,6.95,5.97,4.36,0.96,35:09,2.93
1,2895,1991,19.83,3.15,1.51,6.38,9.51,1.17,0.35,7.43,7.43,6.05,4.62,0.83,33:57,3.82
2,671,1991,19.22,3.56,0.62,7.02,10.96,0.27,0.06,7.51,7.51,4.99,4.13,0.99,37:09,1.95
3,2895,1992,20.68,3.63,1.66,7.96,11.21,1.3,0.3,7.42,7.42,6.86,5.54,1.21,36:18,3.2
4,671,1992,22.07,4.3,0.33,7.11,10.54,0.87,0.22,8.88,8.88,5.34,4.1,0.65,40:31,2.77
5,735,1992,23.37,1.88,3.53,9.63,13.85,0.02,0.0,9.05,9.05,8.9,5.27,0.74,37:54,3.79
6,2895,1993,20.25,3.4,1.84,7.9,11.3,1.57,0.49,7.03,7.03,7.36,5.7,0.88,36:04,2.7
7,671,1993,16.35,3.61,0.27,5.98,8.78,0.41,0.1,6.78,6.78,3.86,2.69,0.57,34:27,2.27
8,735,1993,29.35,2.41,2.85,8.49,13.23,0.02,0.0,11.77,11.77,10.49,5.81,0.94,39:48,2.74
9,847,1993,17.54,3.58,2.16,5.12,9.13,0.18,0.0,7.53,7.53,4.67,2.49,1.22,32:04,2.71
10,2895,1994,20.46,3.34,1.68,7.57,10.55,2.14,0.5,6.63,6.63,8.75,6.71,0.63,37:33,3.07
11,671,1994,18.83,4.56,0.35,4.88,7.22,2.59,1.0,7.22,7.22,4.37,3.38,0.96,39:55,2.56
12,735,1994,29.3,2.71,2.43,7.25,11.41,0.06,0.0,11.77,11.77,10.81,5.76,0.92,37:00,2.58
13,847,1994,20.09,4.74,1.57,5.89,9.59,2.69,0.74,8.59,8.59,4.31,2.17,1.54,38:16,3.09
14,907,1994,21.94,2.46,0.28,4.3,6.41,3.35,1.08,7.95,7.95,6.24,4.96,1.44,36:58,3.91
15,2895,1995,11.18,2.82,0.91,5.36,6.55,1.91,0.64,4.36,4.36,2.91,1.82,0.36,26:43,2.55
16,671,1995,20.49,4.38,0.53,5.36,8.43,2.26,0.83,7.2,7.2,6.96,5.27,0.68,40:25,2.25
17,735,1995,26.56,2.87,2.13,7.67,11.04,0.04,0.02,10.96,10.96,9.46,4.61,0.63,36:02,2.87
18,847,1995,23.73,5.0,0.6,5.13,7.6,2.27,1.0,10.0,10.0,4.6,2.73,1.8,37:12,3.27
19,907,1995,20.24,3.57,0.51,4.49,6.15,3.21,1.1,7.65,7.65,4.74,3.85,1.16,39:37,3.44
20,957,1995,15.26,0.96,1.63,5.09,8.74,0.34,0.12,5.72,5.72,4.78,3.7,1.04,34:24,1.68
21,2895,1996,18.11,3.39,1.32,7.3,10.05,2.09,0.56,6.39,6.39,6.4,4.77,0.88,36:49,3.23
22,671,1996,12.84,2.29,0.47,3.0,5.17,1.38,0.45,4.95,4.95,3.61,2.5,0.86,34:22,1.79
23,735,1996,26.2,3.12,2.88,8.73,12.55,0.08,0.0,10.82,10.82,9.39,4.55,0.9,38:05,2.86
24,847,1996,20.07,4.6,1.9,7.01,10.32,2.1,0.83,8.39,8.39,4.35,2.46,1.69,39:00,3.19
25,907,1996,21.11,3.1,0.85,4.65,6.28,2.25,0.79,8.36,8.36,4.55,3.6,1.29,38:52,3.36
26,957,1996,18.66,1.56,1.08,5.23,8.49,0.58,0.15,7.34,7.34,4.71,3.84,0.93,38:34,2.4
27,1037,1996,23.51,7.46,0.32,2.59,4.11,5.99,2.04,8.22,8.22,7.16,5.03,2.07,40:01,4.43
28,1014,1996,4.78,0.54,0.37,1.53,2.28,0.06,0.03,1.79,1.79,1.62,1.16,0.31,11:34,1.12
29,2895,1997,17.93,2.42,1.18,7.44,10.0,1.64,0.45,6.15,6.15,6.73,5.18,0.78,36:21,2.69
30,671,1997,15.53,2.14,0.19,3.23,5.73,0.9,0.21,6.13,6.13,4.04,3.06,0.57,34:29,1.81
31,735,1997,28.39,2.36,2.39,7.93,11.42,0.0,0.0,11.19,11.19,11.39,6.02,0.66,36:13,2.9
32,847,1997,21.9,3.85,1.75,7.01,9.49,2.89,0.92,9.11,9.11,4.69,2.76,1.56,39:33,2.61
33,907,1997,23.36,2.82,0.61,4.02,5.48,1.16,0.45,9.54,9.54,4.75,3.84,1.23,40:56,3.57
34,957,1997,14.71,1.17,0.65,3.47,5.97,0.1,0.0,5.91,5.91,3.72,2.88,0.79,29:50,2.03
35,1037,1997,21.71,6.23,0.32,2.63,3.7,2.92,0.87,8.03,8.03,6.59,4.78,2.22,39:20,3.06
36,1089,1997,21.02,2.7,2.46,8.52,11.85,0.12,0.0,8.56,8.56,5.91,3.91,0.68,39:00,3.41
37,1014,1997,13.93,1.33,1.25,3.11,4.54,0.02,0.01,5.69,5.69,3.54,2.53,0.75,28:43,2.11
38,2895,1998,13.14,2.11,1.14,6.81,8.86,0.89,0.19,4.54,4.54,5.14,3.86,0.65,31:51,2.43
39,671,1998,11.98,2.43,0.2,3.94,5.8,1.88,0.67,4.29,4.29,3.35,2.73,0.69,33:27,1.82
40,735,1998,26.31,2.33,1.67,6.9,10.71,0.02,0.0,10.41,10.41,10.16,5.49,0.73,34:45,2.49
41,847,1998,19.98,4.12,2.12,9.43,12.98,0.81,0.1,9.0,9.0,4.14,1.88,1.43,40:59,3.52
42,907,1998,18.4,2.13,0.87,4.32,5.87,1.68,0.66,7.38,7.38,3.43,2.98,0.98,33:32,2.26
43,957,1998,13.67,1.58,1.53,4.65,8.23,0.07,0.0,5.19,5.19,4.37,3.3,0.74,33:00,1.53
44,1037,1998,26.75,4.65,0.15,3.54,4.92,4.15,1.21,9.06,9.06,9.88,7.42,2.29,41:29,3.48
45,1089,1998,21.68,2.42,2.52,8.24,11.42,0.14,0.02,8.36,8.36,7.16,4.94,0.9,39:15,2.92
46,1179,1998,8.91,0.56,1.22,5.27,7.93,0.0,0.0,3.82,3.82,2.62,1.27,0.6,28:28,1.89
47,1014,1998,8.56,0.96,0.9,2.44,3.56,0.0,0.0,3.19,3.19,3.13,2.19,0.25,16:54,1.46
48,2895,1999,16.74,2.36,1.76,6.86,8.54,1.91,0.69,6.03,6.03,5.09,4.0,0.46,31:46,2.34
49,671,1999,10.78,2.51,0.1,4.19,5.45,2.49,0.84,4.04,4.04,2.42,1.86,0.61,32:48,1.36
50,735,1999,29.67,3.78,3.03,9.39,13.65,0.01,0.0,12.1,12.1,10.43,5.47,0.46,40:03,2.82
51,847,1999,24.45,4.6,1.71,7.97,10.49,1.27,0.36,9.97,9.97,5.52,4.15,1.6,38:24,2.91
52,907,1999,20.9,2.38,0.51,4.67,5.99,2.93,1.06,8.52,8.52,3.49,2.8,0.96,35:57,2.75
53,957,1999,9.92,1.13,1.09,3.82,6.21,0.01,0.01,3.71,3.71,3.31,2.5,0.58,25:19,1.53
54,1037,1999,28.43,4.74,0.07,2.85,3.87,3.72,1.28,10.41,10.41,8.82,6.32,2.07,41:03,3.32
55,1089,1999,23.19,3.16,2.23,8.86,12.41,0.15,0.01,8.49,8.49,8.15,6.2,0.89,38:53,3.27
56,1179,1999,9.79,0.48,1.75,5.78,8.2,0.0,0.0,4.13,4.13,2.36,1.54,0.44,31:09,2.21
57,1247,1999,20.09,1.91,1.63,5.7,10.0,0.02,0.0,7.78,7.78,6.62,4.53,0.81,36:59,2.81
58,1014,1999,6.53,0.37,0.23,1.55,2.25,0.05,0.0,2.58,2.58,1.7,1.37,0.17,13:16,1.05
59,2895,2000,8.15,1.15,0.62,4.06,5.41,1.5,0.59,2.85,2.85,2.71,1.85,0.29,20:04,1.24
60,671,2000,9.92,1.95,0.45,4.2,5.58,2.51,0.78,3.78,3.78,1.97,1.57,0.6,32:26,1.49
61,735,2000,28.72,3.74,2.76,8.77,12.7,0.03,0.0,10.99,10.99,13.14,6.74,0.64,39:29,2.95
62,847,2000,27.11,4.2,1.69,8.54,11.1,0.4,0.03,11.23,11.23,6.59,4.63,1.33,40:29,2.79
63,907,2000,22.03,3.32,0.82,5.29,6.92,2.42,0.72,9.0,9.0,4.03,3.3,1.13,36:59,2.88
64,957,2000,12.28,1.14,0.72,4.8,7.12,0.07,0.0,4.46,4.46,4.16,3.35,0.68,28:08,1.28
65,1037,2000,31.08,4.58,0.28,3.14,3.85,4.31,1.38,10.73,10.73,10.13,8.24,2.51,41:54,3.34
66,1089,2000,22.2,2.99,2.34,9.0,12.16,0.33,0.09,8.56,8.56,8.07,4.99,0.85,38:42,2.95
67,1179,2000,8.55,0.56,1.32,4.35,6.4,0.0,0.0,3.76,3.76,1.9,1.04,0.37,25:56,2.06
68,1247,2000,20.14,3.24,1.59,6.23,10.08,0.04,0.0,7.81,7.81,6.38,4.51,0.96,39:19,2.96
69,1281,2000,11.97,1.93,1.66,5.37,7.38,0.16,0.01,5.09,5.09,2.82,1.78,1.15,33:25,2.03
70,1014,2000,5.93,0.58,0.4,1.45,2.08,0.38,0.05,2.5,2.5,1.13,0.88,0.33,13:10,0.9
71,2895,2001,15.09,1.69,0.88,5.9,8.78,1.43,0.48,5.71,5.71,3.91,3.19,0.72,35:52,2.05
72,735,2001,27.19,2.99,2.04,7.16,10.67,0.01,0.0,10.63,10.63,10.7,5.94,0.61,36:07,2.55
73,847,2001,24.48,4.8,1.41,7.33,10.11,0.35,0.09,9.85,9.85,6.26,4.69,1.67,38:22,2.93
74,907,2001,20.7,2.55,0.62,5.09,6.15,2.7,0.88,8.12,8.12,4.27,3.58,1.47,35:34,2.64
75,957,2001,10.65,1.14,0.82,4.18,6.29,0.04,0.03,4.13,4.13,2.86,2.38,0.54,26:44,1.19
76,1037,2001,31.38,5.52,0.22,3.75,4.48,4.47,1.3,11.08,11.08,9.75,7.92,2.8,43:44,3.95
77,1089,2001,25.48,3.74,2.48,9.44,12.71,0.12,0.01,9.32,9.32,8.55,6.83,0.74,40:37,3.21
78,1179,2001,11.06,1.13,1.81,6.84,8.89,0.0,0.0,4.8,4.8,2.35,1.46,0.69,32:07,2.19
79,1247,2001,18.16,2.39,2.04,6.61,11.56,0.0,0.0,6.65,6.65,6.55,4.86,1.0,37:42,2.16
80,1281,2001,14.88,2.63,1.66,3.77,5.32,0.92,0.21,6.1,6.1,3.66,2.48,1.23,34:18,2.36
81,1368,2001,4.53,0.75,0.46,2.37,3.47,0.02,0.0,1.65,1.65,1.74,1.23,0.28,14:20,0.75
82,1014,2001,5.02,0.63,0.2,1.26,1.85,0.28,0.11,2.02,2.02,1.0,0.87,0.24,10:32,0.63
83,2895,2002,9.41,1.36,1.08,4.67,7.03,1.05,0.34,3.48,3.48,2.67,2.09,0.83,27:13,1.5
84,735,2002,27.48,3.07,2.37,7.21,11.07,0.0,0.0,10.37,10.37,10.82,6.73,0.57,37:48,2.93
85,847,2002,23.01,5.43,1.31,8.12,10.51,0.31,0.07,9.87,9.87,5.28,3.21,1.58,39:03,3.21
86,907,2002,20.81,2.97,0.38,5.38,6.62,3.81,1.3,7.81,7.81,4.43,3.88,1.32,37:33,3.59
87,957,2002,7.48,0.7,1.02,2.94,5.0,0.04,0.0,2.8,2.8,2.43,1.89,0.26,20:42,0.8
88,1037,2002,27.59,5.54,0.16,3.37,4.2,3.7,1.02,9.8,9.8,8.98,6.95,2.74,42:29,3.49
89,1089,2002,23.26,3.9,2.93,9.68,12.88,0.27,0.07,8.81,8.81,7.83,5.56,0.68,39:17,3.06
90,1179,2002,12.25,1.31,2.19,7.53,9.11,0.0,0.0,5.17,5.17,2.92,1.92,0.5,38:02,2.72
91,1247,2002,18.48,2.53,2.55,6.77,11.34,0.02,0.0,7.27,7.27,5.74,3.94,1.15,39:31,2.6
92,1281,2002,16.66,2.4,0.91,6.18,8.31,0.56,0.12,6.61,6.61,5.09,3.32,1.27,34:05,2.49
93,1368,2002,7.41,0.73,1.0,3.73,5.33,0.04,0.0,2.8,2.8,2.71,1.81,0.63,22:13,1.38
94,1445,2002,13.46,1.67,1.79,5.84,8.23,0.02,0.01,4.89,4.89,4.52,3.67,0.38,29:02,2.11
95,2895,2003,7.97,1.35,0.76,4.32,5.65,1.06,0.24,3.15,3.15,1.91,1.44,0.68,24:52,1.68
96,735,2003,21.48,2.93,2.48,7.81,11.48,0.0,0.0,8.27,8.27,10.09,4.94,0.51,36:47,2.91
97,847,2003,18.7,4.57,0.87,6.61,8.7,0.22,0.04,7.57,7.57,4.96,3.52,1.35,36:12,2.61
98,907,2003,16.62,1.36,0.21,3.4,4.5,2.38,0.81,6.55,6.55,3.26,2.71,1.0,32:01,2.52
99,957,2003,10.92,1.03,1.24,5.43,8.46,0.07,0.01,4.09,4.09,3.17,2.72,0.62,29:43,1.08
100,1037,2003,26.38,6.75,0.1,3.0,3.71,4.15,1.19,9.06,9.06,9.48,7.06,2.4,42:38,4.35
101,1089,2003,22.29,3.09,2.68,9.16,12.45,0.17,0.03,8.58,8.58,8.52,5.1,0.9,36:35,2.65
102,1179,2003,6.62,0.57,1.62,3.98,5.83,0.0,0.0,2.88,2.88,1.45,0.86,0.38,21:54,1.29
103,1247,2003,19.99,3.29,2.23,6.45,10.35,0.01,0.0,7.01,7.01,7.71,5.96,0.93,38:46,2.8
104,1281,2003,16.71,2.46,1.26,7.45,9.49,0.38,0.11,6.75,6.75,4.52,3.09,1.46,34:44,2.58
105,1368,2003,10.88,1.51,0.7,5.03,7.43,0.03,0.01,3.89,3.89,4.51,3.08,0.89,30:08,1.89
106,1445,2003,17.45,1.49,1.9,6.56,8.96,0.02,0.0,6.52,6.52,5.44,4.4,0.27,32:56,2.49
107,237,2003,20.94,5.89,0.73,4.22,5.47,2.75,0.8,7.87,7.87,5.82,4.39,1.65,39:34,3.46
108,1014,2003,4.27,0.38,0.22,1.27,1.59,0.35,0.14,1.65,1.65,1.08,0.84,0.14,9:51,0.65
109,2895,2004,1.8,0.0,0.0,2.4,3.0,0.4,0.0,0.6,0.6,0.6,0.6,0.0,9:52,0.4
110,735,2004,22.86,2.74,2.34,6.95,10.41,0.0,0.0,9.01,9.01,10.48,4.84,0.49,34:12,2.78
111,847,2004,19.49,4.75,0.79,7.19,9.13,0.66,0.22,8.28,8.28,3.4,2.7,1.4,35:25,2.72
112,907,2004,10.0,0.89,0.33,2.22,2.67,0.67,0.22,3.78,3.78,2.56,2.22,0.44,17:33,0.78
113,957,2004,10.99,0.91,0.51,4.89,7.31,0.01,0.0,4.31,4.31,3.08,2.36,0.58,30:41,1.07
114,1037,2004,30.69,7.95,0.12,3.31,3.99,4.51,1.39,10.28,10.28,10.48,8.75,2.4,42:20,4.59
115,1089,2004,20.33,2.71,2.64,8.03,11.09,0.14,0.05,7.83,7.83,6.89,4.62,0.68,33:24,1.92
116,1179,2004,5.94,0.47,0.9,3.52,5.23,0.0,0.0,2.6,2.6,1.11,0.74,0.24,19:38,1.1
117,1247,2004,20.02,2.57,2.09,5.85,9.51,0.04,0.0,7.77,7.77,5.98,4.49,0.77,37:05,2.26
118,1281,2004,15.53,2.43,1.11,5.21,7.3,0.17,0.0,6.34,6.34,4.4,2.84,1.43,32:33,2.13
119,1368,2004,6.95,0.93,0.36,3.19,4.9,0.0,0.0,2.6,2.6,3.07,1.76,0.6,21:35,1.6
120,1445,2004,18.31,0.76,2.0,5.76,8.36,0.0,0.0,6.73,6.73,6.21,4.86,0.43,30:44,2.45
121,237,2004,27.19,7.21,0.65,5.96,7.35,3.85,1.35,9.94,9.94,7.95,5.96,2.21,42:17,3.28
122,220,2004,11.96,0.91,1.66,6.54,10.04,0.02,0.0,4.29,4.29,5.04,3.38,0.94,32:39,2.01
123,735,2005,20.02,1.92,1.76,6.25,9.17,0.0,0.0,8.14,8.14,7.98,3.75,0.39,30:36,2.85
124,847,2005,20.24,3.41,0.83,7.43,9.88,1.03,0.28,8.23,8.23,4.64,3.51,1.37,38:34,2.43
125,957,2005,8.61,0.7,0.3,3.34,5.23,0.05,0.0,3.3,3.3,2.61,2.02,0.55,20:09,0.91
126,1037,2005,33.01,7.39,0.14,2.61,3.22,3.1,1.0,11.32,11.32,11.51,9.38,1.94,43:06,3.44
127,1089,2005,18.56,3.16,2.03,8.13,11.01,0.06,0.03,7.18,7.18,6.66,4.19,0.88,34:47,2.48
128,1179,2005,4.96,0.48,0.69,3.54,4.58,0.0,0.0,2.23,2.23,0.98,0.5,0.46,19:07,1.15
129,1247,2005,24.72,2.63,2.54,7.01,10.0,0.04,0.01,9.57,9.57,7.19,5.57,1.03,39:13,2.19
130,1281,2005,12.86,1.41,0.93,4.64,6.3,0.39,0.09,5.3,5.3,3.04,2.16,0.77,27:36,1.29
131,1368,2005,7.44,1.0,0.64,4.04,6.57,0.01,0.0,2.83,2.83,3.26,1.78,0.38,27:28,1.39
132,1445,2005,22.3,1.49,1.65,7.6,10.19,0.02,0.0,8.19,8.19,6.93,5.91,0.53,34:11,2.58
133,237,2005,31.37,6.59,0.84,6.09,7.04,4.8,1.61,11.08,11.08,10.3,7.61,1.56,42:32,3.29
134,220,2005,15.76,1.52,1.4,8.95,12.46,0.02,0.0,5.71,5.71,7.29,4.34,0.79,36:50,2.65
135,1593,2005,9.37,2.34,0.83,4.68,6.99,0.04,0.0,3.94,3.94,2.37,1.49,0.6,28:38,1.52
136,735,2006,17.25,1.98,1.38,5.0,7.43,0.0,0.0,7.08,7.08,7.35,3.1,0.2,28:21,2.38
137,847,2006,11.21,3.08,0.67,5.13,7.16,0.18,0.07,4.74,4.74,2.62,1.67,0.98,29:50,1.75
138,957,2006,8.51,0.75,0.42,4.31,6.15,0.08,0.0,3.29,3.29,2.28,1.92,0.57,23:07,1.17
139,1037,2006,26.29,7.2,0.2,2.62,2.97,3.03,0.95,8.94,8.94,9.38,7.46,1.89,42:28,4.12
140,1089,2006,19.99,3.41,2.38,7.91,10.58,0.11,0.01,7.73,7.73,7.1,4.53,0.83,34:04,2.8
141,1179,2006,1.67,0.21,0.54,1.42,2.0,0.0,0.0,0.79,0.79,0.13,0.08,0.33,9:44,0.71
142,1247,2006,20.53,2.94,2.24,5.95,9.3,0.01,0.01,8.06,8.06,5.76,4.39,0.96,38:28,2.53
143,1281,2006,9.5,0.5,0.0,7.0,10.0,0.5,0.0,4.0,4.0,6.0,1.5,0.0,31:18,2.5
144,1368,2006,8.41,1.83,1.2,3.98,5.95,0.02,0.0,3.49,3.49,3.27,1.44,0.95,27:35,1.85
145,1445,2006,25.04,1.96,1.96,7.31,9.42,0.04,0.0,8.81,8.81,8.6,7.42,0.35,33:49,3.48
146,237,2006,27.33,6.03,0.71,5.68,6.74,3.97,1.27,9.9,9.9,8.99,6.27,1.6,40:54,3.21
147,220,2006,17.6,1.93,1.9,8.84,12.29,0.02,0.01,6.41,6.41,8.12,4.76,0.85,36:52,3.87
148,1593,2006,12.26,3.0,0.53,6.3,8.85,0.08,0.02,5.27,5.27,2.94,1.7,0.74,34:12,2.27
149,1700,2006,11.55,0.77,0.82,3.12,3.92,4.12,1.54,4.11,4.11,2.18,1.8,0.49,25:04,1.65
150,735,2007,13.64,1.52,1.44,6.36,9.08,0.0,0.0,5.43,5.43,5.54,2.79,0.52,28:39,2.97
151,847,2007,3.89,2.0,0.67,3.33,3.56,0.0,0.0,1.67,1.67,1.33,0.56,0.44,13:58,1.22
152,957,2007,10.1,0.86,0.61,3.09,5.21,0.04,0.0,4.05,4.05,2.65,2.0,0.44,22:24,0.92
153,1037,2007,26.39,7.15,0.15,2.39,2.96,3.35,1.16,8.68,8.68,9.72,7.87,1.95,41:45,2.99
154,1089,2007,19.33,2.79,1.95,8.26,11.29,0.05,0.0,7.5,7.5,5.94,4.33,0.72,33:59,2.28
155,1247,2007,17.63,2.0,1.88,5.38,8.0,0.0,0.0,6.5,6.5,5.88,4.63,0.38,34:13,2.13
156,1281,2007,12.35,1.27,1.2,5.01,6.49,0.15,0.03,5.3,5.3,2.99,1.73,1.24,30:24,1.28
157,1368,2007,4.84,1.18,0.61,3.61,4.95,0.0,0.0,1.89,1.89,2.58,1.05,0.58,18:46,1.34
158,1445,2007,21.98,2.35,2.02,7.67,10.8,0.04,0.0,7.85,7.85,7.38,6.27,0.45,37:09,3.33
159,237,2007,30.0,7.19,1.08,6.12,7.89,4.79,1.51,10.59,10.59,10.28,7.32,1.84,40:21,3.4
160,220,2007,20.67,1.34,2.15,10.76,14.16,0.05,0.0,7.11,7.11,10.94,6.45,0.9,37:39,3.21
161,1593,2007,14.35,2.55,1.73,6.64,9.78,0.09,0.0,5.96,5.96,4.13,2.42,0.82,34:52,2.21
162,1700,2007,10.15,1.14,0.47,3.05,3.69,3.35,1.15,3.59,3.59,2.17,1.82,0.29,23:51,1.13
163,735,2008,17.77,1.68,1.44,5.95,8.44,0.01,0.0,6.83,6.83,6.92,4.12,0.65,30:01,2.24
164,957,2008,6.56,0.72,0.7,3.05,4.61,0.12,0.05,2.74,2.74,1.44,1.04,0.3,19:19,0.44
165,1037,2008,17.46,4.96,0.11,2.51,3.04,1.74,0.49,6.11,6.11,6.09,4.75,1.54,36:42,2.56
