PK,Player ID.1,Season,Average Points,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
1,2895,1990,18.43,1.34,6.62,10.26,0.51,0.18,6.95,6.95,5.97,4.36,0.96,35:09:00,2.93
2,2968,1990,7.17,0.18,1.65,2.96,0.16,0.01,3.16,3.16,1.18,0.84,2.01,27:21:00,2.2
3,3023,1990,14.06,0.06,1.3,1.81,1.49,0.36,6.22,6.22,1.46,1.25,0.82,22:27,1.64
4,531,1990,15.66,0.3,2.11,2.87,4.07,1.52,6.13,6.13,2.49,1.87,0.76,28:29:00,1.55
5,2952,1990,11.05,0.48,1.93,3.21,0.17,0.02,4.59,4.59,2.22,1.85,1.27,23:42,1.99
6,616,1990,7.06,1.49,4.56,7.91,0.01,0,2.41,2.41,3.11,2.25,0.59,25:54:00,0.95
7,2919,1990,17.99,1.08,6.38,8.82,0.14,0.04,6.95,6.95,5.51,4.05,1.43,37:41:00,2.91
8,2905,1990,6.92,0.13,1.24,1.92,1.05,0.31,2.56,2.56,1.92,1.48,0.48,16:11,1.24
9,546,1990,12.04,0.32,1.99,3.45,0.39,0.05,4.49,4.49,3.86,3.01,0.95,25:22:00,1.89
10,608,1990,5.64,0.17,1.09,1.51,0.23,0.04,2.3,2.3,1.7,1,0.68,14:20,1.62
1,671,1991,19.22,0.62,7.02,10.96,0.27,0.06,7.51,7.51,4.99,4.13,0.99,37:09:00,1.95
2,697,1991,7.03,0.14,1.39,1.98,0.2,0.05,2.92,2.92,1.53,1.14,1.05,16:58,1.52
3,684,1991,14.26,0.81,4.95,7.99,0.11,0.01,5.85,5.85,3.9,2.55,1.13,31:22:00,2.24
4,660,1991,16.58,2.96,7.8,12.25,0,0,6.03,6.03,7.04,4.52,0.61,38:15:00,3.55
5,685,1991,8.83,0.45,3.45,5.14,0.14,0,3.83,3.83,1.59,1.17,0.82,22:27,1.28
6,706,1991,4.26,0.97,2.88,3.89,0,0,1.73,1.73,1.21,0.8,0.53,15:00,1.26
7,661,1991,10.59,0.18,1.84,2.89,0.39,0.05,4.38,4.38,2.43,1.78,2.03,30:18:00,2.04
8,673,1991,13.34,0.33,2.79,5.12,0.07,0.01,5.37,5.37,3.9,2.6,1.51,30:32:00,2.21
9,702,1991,9.1,1.1,3.27,5.67,0,0,3.56,3.56,2.96,1.98,0.85,18:51,1.79
1,735,1992,23.37,3.53,9.63,13.85,0.02,0,9.05,9.05,8.9,5.27,0.74,37:54:00,3.79
2,771,1992,21.01,3.47,6.95,10.32,0.04,0,7.33,7.33,8.13,6.35,0.35,33:53:00,3.03
3,740,1992,18.17,1.02,6.63,8.74,0.49,0.05,6.21,6.21,6.83,5.7,1.3,34:51:00,3.4
4,793,1992,16.32,0.39,2.86,4.36,2.61,0.75,6.57,6.57,3.29,2.43,1.43,33:30:00,4.11
5,752,1992,14.7,1.35,5.73,9.07,0.16,0.02,5.89,5.89,3.87,2.89,0.88,33:31:00,1.87
6,731,1992,14.65,0.43,6.94,9.64,1.67,0.47,5.98,5.98,3.47,2.23,1.65,34:30:00,2.84
7,732,1992,16.97,0.49,2.54,4.49,3.24,1.03,6.07,6.07,5.12,3.8,1.12,28:21:00,3.03
8,727,1992,13.85,0.68,2.07,4.1,2.59,0.76,5.04,5.04,4.18,3,1.06,27:11:00,1.66
9,736,1992,6.61,0.2,3.18,5.27,0.01,0,2.29,2.29,2.89,2.02,0.7,18:53,1.22
1,847,1993,17.54,2.16,5.12,9.13,0.18,0,7.53,7.53,4.67,2.49,1.22,32:04:00,2.71
2,818,1993,10.29,3,4.24,6.24,0.06,0,4.1,4.1,3.43,2.08,0.92,28:15:00,3.02
3,799,1993,16.01,0.62,3.01,5.35,2.28,0.61,6.21,6.21,4.02,2.99,2.32,36:46:00,3.56
4,826,1993,19.15,0.18,3.11,4.47,3.78,1.08,7.1,7.1,5.54,3.87,1.13,36:39:00,3.1
5,837,1993,16.62,0.35,2.49,3.99,1.9,0.68,6.61,6.61,3.35,2.72,0.68,30:34:00,2.76
6,820,1993,11.98,0.15,1.57,2.92,0.35,0.02,5.03,5.03,2.48,1.91,0.97,24:40:00,1.66
7,803,1993,7.05,0.05,1.47,1.79,0.84,0.11,2.84,2.84,1.58,1.26,0.68,26:15:00,2.53
8,810,1993,13.48,1.39,4.2,7.57,0.06,0.01,5.3,5.3,5.01,2.85,0.73,31:13:00,1.98
9,806,1993,8.1,0.61,1.72,2.86,1.16,0.44,3.03,3.03,2.39,1.61,0.8,17:47,1.66
10,835,1993,10.28,0.12,1.73,2.3,2.52,0.84,4.09,4.09,1.73,1.27,1.48,26:29:00,2.24
1,907,1994,21.94,0.28,4.3,6.41,3.35,1.08,7.95,7.95,6.24,4.96,1.44,36:58:00,3.91
2,908,1994,11.67,0.3,3.52,5.44,3.25,0.89,4.18,4.18,3.48,2.43,1.91,33:46:00,3.16
3,879,1994,19.91,0.89,4.57,6.36,0.39,0.06,7.26,7.26,7.3,5.34,1.77,38:15:00,2.89
4,877,1994,12.58,1.22,3.72,5.63,3.38,0.96,4.79,4.79,3.08,2.04,0.63,28:58:00,1.6
5,922,1994,16.98,0.23,5.55,8.38,0.11,0,7,7,4.49,2.98,0.8,36:07:00,2.55
6,899,1994,11.44,1.32,3.56,5.97,0.1,0,4.57,4.57,3.57,2.3,0.47,25:52:00,1.91
7,884,1994,14.1,0.68,2.74,4.37,2.69,0.8,5.42,5.42,3.26,2.46,0.89,31:33:00,2.01
8,892,1994,13.23,1.45,4.89,7.48,0.05,0.01,5.16,5.16,4.54,2.89,0.61,28:36:00,2.04
9,887,1994,10.01,0.78,4.74,7.26,0.01,0,3.94,3.94,3.37,2.14,0.37,29:40:00,1.44
10,881,1994,14.02,0.64,2.66,3.89,3.84,1.42,5.34,5.34,2.64,1.91,2.05,30:57:00,1.17
1,957,1995,15.26,1.63,5.09,8.74,0.34,0.12,5.72,5.72,4.78,3.7,1.04,34:24:00,1.68
2,965,1995,13.42,1.5,4.51,7.53,0.05,0,5.62,5.62,3.2,2.18,0.71,30:00:00,2.03
3,946,1995,19.22,1.1,2.43,3.68,4.06,1.29,6.28,6.28,7.19,5.38,1.06,37:30:00,3.5
4,948,1995,10.08,0.83,3.23,4.66,1.26,0.42,4.23,4.23,1.85,1.2,0.65,27:30:00,1.58
5,971,1995,10.44,1.64,4.08,6.26,0.35,0.1,4.51,4.51,1.86,1.31,1.08,28:39:00,1.38
6,952,1995,13.26,0.71,5.09,7.4,0.04,0,5.21,5.21,3.88,2.84,0.56,31:56:00,2.04
7,960,1995,19.01,0.27,3.17,4.01,4.81,1.9,6.87,6.87,4.23,3.37,1.4,40:55:00,3.81
8,974,1995,4.89,0.06,0.74,1.19,1.97,0.68,1.82,1.82,0.68,0.56,0.52,13:37,0.68
9,962,1995,6.23,0.17,,1.86,0.88,0.16,2.44,2.44,1.69,1.2,0.69,19:34,0.97
10,978,1995,9,0.49,4.28,5.93,0.03,0,3.7,3.7,2.41,1.59,0.64,22:21,1.32
1,1037,1996,23.51,0.32,2.59,4.11,5.99,2.04,8.22,8.22,7.16,5.03,2.07,40:01:00,4.43
2,1016,1996,14.84,2.06,4.17,6.25,0.22,0.03,5.95,5.95,4.19,2.9,1.05,30:03:00,2.13
3,1018,1996,18.68,0.99,4.24,6.94,0.34,0.09,6.88,6.88,6.49,4.84,0.99,35:02:00,2.81
4,1027,1996,15.78,0.28,1.94,2.75,4.3,1.52,5.3,5.3,5.03,3.66,1,34:40:00,3.13
5,1036,1996,13.44,0.12,2.79,3.98,3.63,1.43,4.76,4.76,3.04,2.5,0.91,30:57:00,1.82
6,1009,1996,17.52,0.65,5.52,9.04,1.94,0.63,7.04,7.04,4.46,2.82,1.28,36:14:00,2.8
7,1033,1996,7.29,0.78,3.44,6.12,0.05,0.01,3.06,3.06,1.97,1.14,0.62,25:09:00,1.03
8,1024,1996,16.43,0.43,2.6,3.89,5.11,1.93,6.18,6.18,2.77,2.13,1.93,36:45:00,1.55
9,1054,1996,5.05,0.48,2.33,3.43,0.02,0,1.95,1.95,1.76,1.14,0.36,13:58,0.9
10,1012,1996,5.14,1.01,2.75,4.08,0.01,0.01,1.82,1.82,2.33,1.49,0.26,14:33,1.17
11,1014,1996,4.78,0.37,1.53,2.28,0.06,0.03,1.79,1.79,1.62,1.16,0.31,11:34,1.12
1,1089,1997,21.02,2.46,8.52,11.85,0.12,0,8.56,8.56,5.91,3.91,0.68,39:00:00,3.41
2,1119,1997,19.66,0.4,4.29,6.58,3.61,1.11,7.19,7.19,4.92,4.16,1.03,37:33:00,2.65
3,1097,1997,11.2,0.05,1.61,2.37,4.06,1.33,3.52,3.52,3.32,2.84,1.35,27:36:00,2.18
4,1086,1997,7.82,0.14,1.64,1.93,0.7,0.15,3.08,3.08,2.3,1.51,0.74,26:23:00,2.22
5,1090,1997,8.37,1.06,3.28,5.4,0.22,0.05,3.6,3.6,1.6,1.12,0.83,23:09,1.51
6,1096,1997,15.28,0.22,2.13,3.47,0.35,0.04,6.43,6.43,2.84,2.38,1.57,33:02:00,1.63
7,1116,1997,11.07,0.22,2.38,3.79,2.25,0.82,4.01,4.01,3.01,2.22,0.71,23:14,1.53
8,1103,1997,3,0.95,2.02,3.35,0.02,0,1.25,1.25,1.13,0.49,0.24,11:57,0.91
9,1087,1997,6.97,0.94,2.44,4.03,0.63,0.22,2.76,2.76,1.73,1.22,0.73,18:11,0.98
10,1092,1997,10.2,0.38,3.33,5.6,0.04,0.01,3.45,3.45,4.24,3.29,0.55,22:40,1.96
1,1179,1998,8.91,1.22,5.27,7.93,0,0,3.82,3.82,2.62,1.27,0.6,28:28:00,1.89
2,1199,1998,13.24,0.1,2.12,2.72,1.48,0.3,5.2,5.2,3.38,2.54,1.56,35:07:00,2.92
3,1193,1998,13.83,1.42,4.83,7.58,2.58,1,4.92,4.92,4,3,0.75,32:21:00,0.75
4,1198,1998,9.55,0.34,3.62,6.4,0.21,0.06,3.79,3.79,3.26,1.91,0.81,22:31,1.45
5,88,1998,18.26,1.54,3.78,5.66,1.32,0.38,6.9,6.9,5.36,4.08,1.1,35:13:00,2.2
6,1196,1998,5.29,0.9,2.08,3.71,0.02,0,2.2,2.2,1.63,0.88,0.9,16:01,0.86
7,1161,1998,12.82,0.02,2.78,3.06,6.46,2,4.62,4.62,2.1,1.58,1.9,36:07:00,2.86
8,1152,1998,9.1,0.28,2.12,3.78,1.04,0.16,3.4,3.4,3.02,2.14,0.88,19:45,1.36
9,346,1998,8.19,0.57,2.57,3.45,1.45,0.3,2.89,2.89,2.72,2.11,0.62,20:24,1.55
10,1168,1998,16.48,1.04,4,6.44,4.25,1.75,5.92,5.92,4.06,2.9,1.71,33:57:00,2.35
1,1247,1999,20.09,1.63,5.7,10,0.02,0,7.78,7.78,6.62,4.53,0.81,36:59:00,2.81
2,1232,1999,18.03,0.38,3.34,5.31,4.03,1.39,6.45,6.45,4.74,3.73,1.53,36:02:00,3.97
3,1237,1999,5.93,0.23,1.43,2.01,1.35,0.3,2.22,2.22,1.87,1.18,1.18,18:34,1.71
4,1216,1999,16.57,1.25,5.74,7.83,2.16,0.78,5.91,5.91,5.53,3.97,1.2,36:24:00,3.39
5,1264,1999,2.67,0.21,0.71,0.88,0.5,0.08,0.96,0.96,1,0.67,0.04,5:27,0.29
6,1251,1999,11.58,0.32,2.51,3.73,1.07,0.38,4.68,4.68,2.21,1.82,0.79,29:44:00,1.14
7,1245,1999,9,0.08,1.28,1.82,1.08,0.39,3.58,3.58,1.87,1.45,0.39,19:17,1.18
8,1222,1999,11.15,0.21,2.38,3.41,0.6,0.12,4.13,4.13,3.56,2.76,1.02,25:34:00,2.02
9,1226,1999,10.2,1.04,4.45,6.51,0.43,0.08,4.35,4.35,1.67,1.41,0.75,24:46:00,1
10,1242,1999,8.11,0.12,1.75,2.05,1.94,0.57,3.07,3.07,1.73,1.4,1.11,23:17,1.93
1,1281,2000,11.97,1.66,5.37,7.38,0.16,0.01,5.09,5.09,2.82,1.78,1.15,33:25:00,2.03
2,1285,2000,4.89,1.03,2.19,3.55,0.05,0,1.91,1.91,1.76,1.06,0.78,16:24,0.8
3,1295,2000,9.4,1.54,4.32,5.89,0.23,0.01,3.93,3.93,2.94,1.53,0.63,26:24:00,1.81
4,1292,2000,9.49,0.26,3.29,4.35,0.54,0.14,3.86,3.86,2.24,1.63,0.42,21:57,1.72
5,1299,2000,11.89,0.23,3.18,3.99,4.44,1.8,4.49,4.49,1.56,1.11,0.62,29:08:00,1.18
6,1276,2000,5.09,0.38,1.56,2.28,1.63,0.53,1.87,1.87,1.12,0.82,0.55,16:47,1.19
7,1279,2000,7.55,0.91,2.95,4.72,0.02,0,2.91,2.91,2.17,1.72,0.33,19:38,1.33
8,111,2000,4.62,0.23,1.31,1.46,1.92,0.67,1.75,1.75,0.56,0.44,0.7,17:09,1.39
9,1286,2000,0.82,0.91,1.27,2.15,0,0,0.36,0.36,0.33,0.09,0.09,8:05,0.39
10,1296,2000,5.91,0.14,1.07,1.17,1.05,0.37,1.95,1.95,2.36,1.64,0.54,16:19,1.24
1,1368,2001,4.53,0.46,2.37,3.47,0.02,0,1.65,1.65,1.74,1.23,0.28,14:20,0.75
2,94,2001,6.14,1.31,3.23,4.83,0,0,2.13,2.13,3.13,1.89,0.39,19:37,1.39
3,170,2001,17.57,2.06,6,8.9,0.06,0.01,6.72,6.72,5.82,4.12,0.5,36:36:00,2.73
4,1376,2001,6.71,0.74,2.24,3.78,0,0,2.63,2.63,2.22,1.46,0.22,15:59,0.96
5,1372,2001,14.39,0.39,2.7,4.25,3.08,1.03,5.8,5.8,2.63,1.76,1.33,32:50:00,2
6,1378,2001,14.42,1.04,3.05,5.36,3.54,1.32,5.28,5.28,3.63,2.54,1.55,39:43:00,1.99
7,1358,2001,8.79,1.84,4.1,5.7,3.74,1.23,3.34,3.34,1.18,0.88,0.23,25:57:00,0.64
8,1367,2001,1.39,0.56,0.67,0.94,0,0,0.67,0.67,0.28,0.06,0.06,6:05,0.67
9,1363,2001,3.5,0.13,1,1.13,0.56,0.13,1.31,1.31,0.88,0.75,0.56,7:58,0.88
10,1364,2001,7.55,0.26,2.36,3.34,1.69,0.49,3.26,3.26,0.69,0.53,0.77,24:53:00,0.92
1,1445,2002,13.46,1.79,5.84,8.23,0.02,0.01,4.89,4.89,4.52,3.67,0.38,29:02:00,2.11
2,1425,2002,9.52,0.23,2.24,2.6,2.69,0.87,3.64,3.64,2.15,1.37,1.15,26:08:00,2.28
3,1429,2002,5.68,0.23,1.8,2.61,1.83,0.63,2.05,2.05,1.22,0.95,0.65,15:55,1.05
4,1441,2002,12.5,0.5,4.17,6.5,0.69,0.2,5.07,5.07,3.03,2.16,0.76,26:47:00,2.14
5,1430,2002,3.89,0.36,1.44,2.23,1.88,0.46,1.42,1.42,0.8,0.59,0.38,16:17,1.04
6,1456,2002,13.38,0.15,1.32,1.74,3.7,1.17,4.74,4.74,3.4,2.72,0.81,29:27:00,1.81
7,342,2002,10.49,0.81,3.54,6.14,0.04,0,4.01,4.01,4.26,2.46,1.59,28:13:00,2.26
8,1422,2002,3.72,0.26,1.57,2.26,0,0,1.59,1.59,1.09,0.54,0.15,10:25,0.57
9,1433,2002,13.49,1.06,5.74,8.79,0.12,0.02,4.78,4.78,5.9,3.9,0.76,31:20:00,2.3
10,1439,2002,15.4,0.4,3.36,5.09,1.37,0.44,5.5,5.5,4.81,3.96,1.76,36:36:00,2.46
1,237,2003,20.94,0.73,4.22,5.47,2.75,0.8,7.87,7.87,5.82,4.39,1.65,39:34:00,3.46
2,1495,2003,1.41,0.44,0.94,1.26,0.03,0,0.5,0.5,0.71,0.41,0.21,4:41,0.38
3,17,2003,21.04,0.5,3.84,6.07,2.61,0.84,7.61,7.61,6.4,4.98,1.18,36:28:00,3.01
4,1482,2003,11.48,1.41,4.88,7.43,0.19,0.07,4.36,4.36,3.84,2.69,0.79,33:33:00,1.43
5,461,2003,16.25,0.56,2.66,4.05,0.87,0.26,6.08,6.08,5.11,3.82,1.41,35:00:00,3.21
6,1499,2003,6.09,0.89,4.09,5.62,0.02,0,2.44,2.44,1.73,1.21,0.28,22:33,1.89
7,1505,2003,12.04,0.28,2.86,3.41,4.86,1.89,4.18,4.18,2.21,1.78,1.33,35:38:00,2.68
8,1468,2003,7.11,0.05,2.55,3.22,0.38,0.09,2.78,2.78,1.78,1.45,1.09,26:59:00,2.53
9,1496,2003,9.61,0.16,2.76,3.77,1.87,0.57,3.97,3.97,1.4,1.1,1.01,29:11:00,1.57
10,220,2004,11.96,1.66,6.54,10.04,0.02,0,4.29,4.29,5.04,3.38,0.94,32:39:00,2.01
1,1559,2004,15.17,1.71,7.17,10.94,0.01,0,6.15,6.15,4.71,2.86,0.86,35:38:00,1.71
2,1562,2004,15.06,0.12,1.95,2.62,4.04,1.63,5.29,5.29,3.29,2.84,0.65,24:33:00,2.27
3,280,2004,7.4,0.37,2.23,2.97,0.07,0,2.97,2.97,1.97,1.47,1.07,27:20:00,2.5
4,195,2004,5.74,0.25,0.97,1.34,1.72,0.58,2.07,2.07,1.36,1.03,1.01,15:28,1.08
5,1542,2004,10.09,0.44,3.59,6.03,0.7,0.16,3.78,3.78,2.89,2.38,0.93,29:38:00,1.33
6,124,2004,11.7,0.43,3.77,5.25,1.95,0.52,4.62,4.62,2.65,1.95,0.78,27:14:00,1.95
7,1549,2004,3.32,0.14,2.14,3.14,0.05,0.02,1.29,1.29,0.93,0.73,0.36,12:28,0.88
8,224,2004,9.04,0.59,4.57,5.66,1.73,0.57,3.28,3.28,2.56,1.9,1.68,32:41:00,1.7
9,1556,2004,2.9,0,0.4,0.6,0.6,0.4,1,1,0.6,0.5,0,4:18,0.2
1,1593,2005,9.37,0.83,4.68,6.99,0.04,0,3.94,3.94,2.37,1.49,0.6,28:38:00,1.52
2,482,2005,8.51,0.3,3.3,4.85,0.67,0.16,2.97,2.97,3.2,2.39,0.61,24:42:00,1.05
3,1601,2005,10.8,0.21,1.99,2.43,2.74,1.14,4.24,4.24,1.69,1.19,0.75,28:49:00,1.81
4,367,2005,16.13,0.08,4.35,5.13,2.27,0.64,5.22,5.22,5.96,5.05,2.24,36:00:00,2.35
5,155,2005,11.85,0.1,2.35,3.31,3.39,1.21,4.31,4.31,2.78,2.01,1.28,30:04:00,2.28
6,1620,2005,6.62,0.23,1.66,2.13,2.98,1.07,2.28,2.28,1.16,1,0.34,17:32,0.7
7,1627,2005,13,0.78,4.2,6.43,2.64,0.86,5.37,5.37,1.98,1.4,0.74,29:08:00,1.22
